word,description,score
leves,"Nem egyenes...",10
löket,Köszönjük minden harisnyának és zokninak ezt a szót!,8
bitang,Veszélyes...,8
kutyagol,Ez nem ló szó.,8
tetőfedő,Ez ilyen építész dolog?,7
zsindely,Na ez építész dolog.,6
flúg,Ki fogom nyomozni ki használja ezt a szót.,9
cókmók,Fogjad.,8
hegyomlás,Ismersz ilyen emberfélét?,9
latyak,Téli szó.,8
ergya,Ez valami rövidítés?,7
gebasz,Honnan eredhet?,8
agymenés,"Akik ezt csinálják azokat ún. agymenőknek hívjuk.",9
bumburnyák,"Használd ma ezt a szót, ha mered.",8
lébecol,Te szoktál?,7
fityfene,Fészkes?,8
spicli,A kínai kém.,7
behemót,"Tudod, a lény.",6
debella,Állat nélkül az igazi.,9
melák,Aki ezt napi szinten használja annak nem kell többet játszania.,9
kolbászol,De nem kígyózik.,6
húgyagyú,Erős kifejezés.,8
rátarti,Hova tart I?,3
etyepetye,Aki ezt elsőre kitalálja az nem ember.,5
lajos,"Királyok neve, a nevek királya.",10
rakott,Ha nem krumpli nem is kérem.,5
balek,Ennek a szinonímái sem rosszak.,6
gatya,Leggyakrabban használt jó szavak egyike.,9
lédús,Kifejező szó.,7
balfácán,"De vajon miért fácán? Mert jól hangzik?",7
ákombákom,"Tudtad, hogy a macskák kaparása néha irigykedik ákom bákjára?",8
pikantéria,Séfeknek nyelvezetének kötelező eleme.,7
tudálékos,A mindig evidens.,7
tagbaszakadt,Akkora mintha dézsából öntenék.,7
agyrém,Amúgy a legtöbb agyas szó jó.,8
kugli,"Golyó, ha nem tudnád mi az.",8
fajankó,Ha fát nevelnék így hívnám.,8
maszek,"Magánszektor? Elég basic eredet.",6
némber,"Né má! Ném ber.",5
léhűtő,Fagyasztóláda lánykori nevén.,8
dromedár,Keményebb név mint a tigris vagy az oroszlány.,9
turpisság,"Ez van, ha palacsintát használunk wc papírnak.",6
fityisz,Az elfeledett gang sign.,7
cuppog,Hangutánzó szó vagy szóutánzó hang?,6
gém,Óver,9
pereputty,Az egész rakás.,7
spéci,Speciális téma.,6
kütyü,Gadzséta.,5
kadét,Nadrág az űrben.,9
pupák,Ez kinek jön a nyelvére egyáltalán?,9
kókler,Ez nem angolul van?,7
szisztéma,Rendszeresen használjuk ezt a szót.,5
kutyafüle,A satöbbi erről kapta a nevét.,8
dunyha,Ennek a spongyabobban csápja is van.,6
sitt,Gitt lovag is létezik vagy csak sitt?,9
kukker,Nézőke.,6
ragya,Ne merd lepontozni azért mert csúnya szó.,2
lompos,Haha.,8
fenegyerek,Nekedmegyek.,6
balga,"Nem minden tag balga, de minden balgatag.",8
hupákolás,A zene az jó.,8
kontár,Mikor kontárkodtál legutóbb?,6
kend,Érti?,8
fikarc,Nehogy dupla a-val írd.,6
galiba,A magyar khalifa.,8
jócskán,A jót is lehet becézni?,5
pézsma,Váladékszag magyarul.,6
teng,Ezt jó kimondani.,6
fizimiska,"A fizimicsodája?",8
cirip,"Tücsökduma.",7
kondér,"Minden jó leves alapja.",7
böszme,"Tompa eszűek szava.",8
uzsgyi,"Melyik jobb, ez vagy az uccu?",9
sipirc,"Le az útról, gyorsan!",8
hórihorgas,"Osztódásos ikerszó? Az meg mi?",7
lappantyú,"A hangja sem rossz.",9
huncut,"Intelligens és alattomos.",6
sapka,"Itt ez nincs. Szabad a fej.",8
zsírharang,"Zsírból nem lehet harangot csinálni. Szétcsöpög. Na jó, télen, mínusz húsz fokban.",10
kummant,"Ez tényleg azt jelenti, hogy alszik?",9
pracli,"Aki ezt ma használná inkább maradjon otthon.",5
náspáng,"Legalább olyan hülyeség mint a naspolya.",4
susnyás,"A susogós mackók természetes élőhelye.",8
kalamajka,"Zavar az űrben.",5
cirkalmaz,"Nem piros, nem piros...",7
gyepál,"Vágod?",7
ficak,"Ebből kapufa lesz.",8
hibbant,"Úgy is mondják, hogy hangyás.",8
mufurc,"Miért vagy ilyen kis mufurc? Mi a baj?",7
pufók,"Puffadt pók.",8
hasonszőrű,"Kinek van a hasán szőr?",8
kompót,"A világ legjobb szava?",6
zamat,"A beszédes íz.",9
épkézláb,"Robotok g-vel kezdjék.",7
nagyágyú,"Ékezet nélkül se rossz.",7
ótvar,"Ez egy betegség?",7
kredenc,"A c-t jól meg kell nyomni az íze végett.",7
kacifánt,"A bonyolult elefánt.",8
hancúrléc,"Ez meg mafasz?",9
kakadu,"A madarak simán nyernének egy jó név versenyben.",7
bukfenc,"A test hosszában a fejen és a háton való átfordulás.",6
cölöp,"Tartós szó.",7
brant,"De mit eszik?",8
pasas,"Ez miért ment ki a divatból? Jöjjön vissza.",9
doszt,"Kinek jön ez a szájára?",7
stóc,"Rakott dolgok neve.",7
potom,"Pöttöm péndz.",8
cukkol,"Ómagyar ragebait.",6
pitypang,"Zenélő szó.",7
fabula,"Fabulás, mondja az angol.",8
bugyuta,"Értelmetlenül vagy érthetetlenül beszélő, cselekvő vagy viselkedő személy.",8
pröcsök,"Nyelvújítás előtti rovar.",7
sumák,"Spanoknak csak sumék.",8
ügyifogyi,"A törp, aki ügyesen fogyózik.",6
agyafúrt,"Az ehavi agyas szó.",7
lekvár,"Ez te vagy.",6
tunkol,"Leveses cselekedet.",8
guppi,"Ezek a tengeri állatok.",8
nedű,"Szaftos szó.",9
kutyul,"Arra mondjuk, aki átmegy kutyába.",9
ocsortány,"Oh, csótány?",8
bödön,"Itt lakik Ödön.",8
csibész,"Alias huligán.",7
paréj,"Ki hív szőrös disznónak egy növényt?",6
gyagya,"Buta szó.",9
maugli,"Szólíts ma így valakit!",8
kandeláber,"Fényes szó.",6
tukmál,"Olyan mint a tunkol, csak az embert, nem a levest.",8
eszeveszett,"Ezt magyarázni sem kell.",8
nudli,"Az étel, amiért a gyerekek egyenesen rajonganak."7
